saldo_cuenta(millones),duracion_prestamo_meses,historial_crediticio,proposito,monto(millones),saldo_ahorros(millones),antiguedad_empleo,tasa_cuotas,estado_personal,otros_deudores,historial_residencia,propiedad,edad,plan_cuotas,vivienda,creditos_existentes,trabajo,dependientes,telefono,trabajador_extranjero,incumplimiento
< 1M,36,retrasado,negocios,2145,< 1M,4 - 7 años,2,hombre soltero,ninguno,1,otro,24,ninguno,propia,2,empleado calificado,1,sí,sí,1
1M - 10M,24,pagado,coche (usado),4113,10M - 100M,0 - 1 año,3,mujer,ninguno,4,otro,28,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
desconocido,36,pagado,muebles,10974,< 1M,desempleado,4,mujer,ninguno,2,otro,26,ninguno,propia,2,autónomo gerente,1,sí,sí,1
< 1M,12,pagado,coche (nuevo),1893,< 1M,1 - 4 años,4,mujer,aval,4,sociedad de ahorros y préstamos,29,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,24,crítico,radio/televisión,1231,> 100M,> 7 años,4,mujer,ninguno,4,sociedad de ahorros y préstamos,57,ninguno,alquilada,2,autónomo gerente,1,sí,sí,0
> 10M,30,crítico,radio/televisión,3656,desconocido,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,49,tiendas,propia,2,residente no calificado,1,ninguno,sí,0
1M - 10M,9,crítico,radio/televisión,1154,< 1M,> 7 años,2,hombre soltero,ninguno,4,bienes raíces,37,ninguno,propia,3,residente no calificado,1,ninguno,sí,0
< 1M,28,pagado,coche (nuevo),4006,< 1M,1 - 4 años,3,hombre soltero,ninguno,2,otro,45,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
1M - 10M,24,pagado,muebles,3069,1M - 10M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,30,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,0
desconocido,6,crítico,radio/televisión,1740,< 1M,> 7 años,2,hombre casado,ninguno,2,bienes raíces,30,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,0
1M - 10M,21,retrasado,coche (nuevo),2353,< 1M,1 - 4 años,1,hombre divorciado,ninguno,4,sociedad de ahorros y préstamos,47,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,15,pagado,coche (nuevo),3556,desconocido,1 - 4 años,3,hombre soltero,ninguno,2,desconocido/nada,29,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,24,pagado,radio/televisión,2397,10M - 100M,> 7 años,3,hombre soltero,ninguno,2,otro,35,banco,propia,2,empleado calificado,1,sí,sí,1
1M - 10M,6,pagado,reparaciones,454,< 1M,0 - 1 año,3,hombre casado,ninguno,1,sociedad de ahorros y préstamos,22,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,30,pagado,radio/televisión,1715,desconocido,1 - 4 años,4,mujer,ninguno,1,otro,26,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,27,crítico,radio/televisión,2520,10M - 100M,1 - 4 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,23,ninguno,propia,2,residente no calificado,1,ninguno,sí,1
desconocido,15,pagado,radio/televisión,3568,< 1M,> 7 años,4,mujer,ninguno,2,otro,54,banco,alquilada,1,autónomo gerente,1,sí,sí,0
desconocido,42,pagado,radio/televisión,7166,desconocido,4 - 7 años,2,hombre casado,ninguno,4,sociedad de ahorros y préstamos,29,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
< 1M,11,crítico,coche (nuevo),3939,< 1M,1 - 4 años,1,hombre soltero,ninguno,2,bienes raíces,40,ninguno,propia,2,residente no calificado,2,ninguno,sí,0
1M - 10M,15,pagado,reparaciones,1514,1M - 10M,1 - 4 años,4,hombre soltero,aval,2,bienes raíces,22,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,24,pagado,coche (nuevo),7393,< 1M,1 - 4 años,1,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,43,ninguno,propia,1,residente no calificado,2,ninguno,sí,0
< 1M,24,totalmente pagado en este banco,coche (nuevo),1193,< 1M,desempleado,1,mujer,co-solicitante,4,desconocido/nada,29,ninguno,alquilada,2,desempleado no residente,1,ninguno,sí,1
< 1M,60,pagado,negocios,7297,< 1M,> 7 años,4,hombre soltero,co-solicitante,4,desconocido/nada,36,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
desconocido,30,crítico,radio/televisión,2831,< 1M,1 - 4 años,4,mujer,ninguno,2,otro,33,ninguno,propia,1,empleado calificado,1,sí,sí,0
> 10M,24,pagado,radio/televisión,1258,10M - 100M,1 - 4 años,3,mujer,ninguno,3,otro,57,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,6,pagado,radio/televisión,753,< 1M,1 - 4 años,2,mujer,aval,3,bienes raíces,64,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,18,retrasado,negocios,2427,desconocido,> 7 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,42,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,24,retrasado,coche (nuevo),2538,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,47,ninguno,propia,2,residente no calificado,2,ninguno,sí,1
1M - 10M,15,totalmente pagado en este banco,coche (nuevo),1264,1M - 10M,1 - 4 años,2,hombre casado,ninguno,2,sociedad de ahorros y préstamos,25,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
1M - 10M,30,crítico,muebles,8386,< 1M,4 - 7 años,2,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,49,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,48,pagado,negocios,4844,< 1M,desempleado,3,hombre soltero,ninguno,2,otro,33,banco,alquilada,1,autónomo gerente,1,sí,sí,1
> 10M,21,pagado,coche (nuevo),2923,1M - 10M,1 - 4 años,1,mujer,ninguno,1,otro,28,banco,propia,1,autónomo gerente,1,sí,sí,0
< 1M,36,pagado,coche (usado),8229,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,26,ninguno,propia,1,empleado calificado,2,ninguno,sí,1
desconocido,24,crítico,muebles,2028,< 1M,4 - 7 años,2,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,30,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
< 1M,15,crítico,muebles,1433,< 1M,1 - 4 años,4,mujer,ninguno,3,sociedad de ahorros y préstamos,25,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,0
> 10M,42,totalmente pagado,negocios,6289,< 1M,0 - 1 año,2,hombre divorciado,ninguno,1,sociedad de ahorros y préstamos,33,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,13,pagado,radio/televisión,1409,1M - 10M,desempleado,2,mujer,ninguno,4,bienes raíces,64,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,24,pagado,coche (usado),6579,< 1M,desempleado,4,hombre soltero,ninguno,2,desconocido/nada,29,ninguno,gratuita,1,autónomo gerente,1,sí,sí,0
1M - 10M,24,crítico,radio/televisión,1743,< 1M,> 7 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,48,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
desconocido,12,crítico,educación,3565,desconocido,0 - 1 año,2,hombre soltero,ninguno,1,sociedad de ahorros y préstamos,37,ninguno,propia,2,residente no calificado,2,ninguno,sí,0
desconocido,15,totalmente pagado en este banco,radio/televisión,1569,1M - 10M,> 7 años,4,hombre soltero,ninguno,4,otro,34,banco,propia,1,residente no calificado,2,ninguno,sí,0
< 1M,18,pagado,radio/televisión,1936,desconocido,4 - 7 años,2,hombre casado,ninguno,4,otro,23,ninguno,alquilada,2,residente no calificado,1,ninguno,sí,0
< 1M,36,pagado,muebles,3959,< 1M,desempleado,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,30,ninguno,propia,1,autónomo gerente,1,sí,sí,0
desconocido,12,pagado,coche (nuevo),2390,desconocido,> 7 años,4,hombre soltero,ninguno,3,otro,50,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,12,pagado,muebles,1736,< 1M,4 - 7 años,3,mujer,ninguno,4,bienes raíces,31,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
< 1M,30,pagado,coche (usado),3857,< 1M,1 - 4 años,4,hombre divorciado,ninguno,4,sociedad de ahorros y préstamos,40,ninguno,propia,1,autónomo gerente,1,sí,sí,0
desconocido,12,pagado,radio/televisión,804,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,38,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,45,pagado,radio/televisión,1845,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,desconocido/nada,23,ninguno,gratuita,1,empleado calificado,1,sí,sí,1
1M - 10M,45,crítico,coche (usado),4576,1M - 10M,desempleado,3,hombre soltero,ninguno,4,otro,27,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
